filename,phrase,label_id
01-D-2016-Juan_Encontro_1.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes ɡˈoɾðas,P19
01-D-2017-Matrice-08512-002-repet1.wav,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes,P05
01-D-2017-Matrice-08512-002-repet2.wav,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes,P05
01-D-2017-Matrice-08512-002-repet3.wav,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes,P05
01-JL-2018-matrices090131-009-repet1.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes,P18
01-JL-2018-matrices090131-009-repet2.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes,P18
01-TI-2019-Matrice-080102-001-repet1.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes ɡˈoɾðas,P19
02-D-2016-Serio_Esta_1.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas,P13
02-D-2017-Matrice-08512-002-repet1.wav,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos,P15
02-D-2017-Matrice-08512-002-repet2.wav,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos,P15
02-D-2017-Matrice-08512-002-repet3.wav,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos,P15
02-JL-2018-matrices090131-010-repet1.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas,P13
02-JL-2018-matrices090131-010-repet2.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas,P13
02-TI-2019-Matrice-080102-001-repet1.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas,P13
03-D-2016-Esta_Oveja_Necesita_1.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno,P21
03-D-2017-Matrice-08512-002-repet1.wav,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules,P17
03-D-2017-Matrice-08512-002-repet2.wav,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules,P17
03-D-2017-Matrice-08512-002-repet3.wav,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules,P17
03-JL-2018-matrices090131-010-repet1.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno,P21
03-JL-2018-matrices090131-010-repet2.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno,P21
03-TI-2019-Matrice-080102-001-repet1.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno,P21
04-D-2016-Mi_Perro_1.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas,P10
04-D-2017-Matrice-08512-002-repet1.wav,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos,P11
04-D-2017-Matrice-08512-002-repet2.wav,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos,P11
04-D-2017-Matrice-08512-002-repet3.wav,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos,P11
04-JL-2018-matrices090131-010-repet1.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas,P10
04-JL-2018-matrices090131-010-repet2.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas,P10
04-TI-2019-Matrice-080102-001-repet1.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas,P10
05-D-2016-El_Extrangero_1.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas,P01
05-D-2017-Matrice-08512-002-repet1.wav,manˈwel bˈende mil anˈiʎos nˈeɣɾos,P09
05-D-2017-Matrice-08512-002-repet2.wav,manˈwel bˈende mil anˈiʎos nˈeɣɾos,P09
05-D-2017-Matrice-08512-002-repet3.wav,manˈwel bˈende mil anˈiʎos nˈeɣɾos,P09
05-JL-2018-matrices090131-010-repet1.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas,P01
05-JL-2018-matrices090131-010-repet2.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas,P01
05-TI-2019-Matrice-080102-001-repet1.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas,P01
06-D-2016-Silvia_Cose_1.wav,sˈilbja kˈose un pantalˈon aθˈul,P14
06-JL-2018-matrices090131-015-repet1.wav,sˈilbja kˈose un pantalˈon aθˈul,P14
06-JL-2018-matrices090131-015-repet2.wav,sˈilbja kˈose un pantalˈon aθˈul,P14
06-TI-2019-Matrice-080102-001-repet1.wav,sˈilbja kˈose un pantalˈon aθˈul,P14
07-D-2016-Jose_Bebio_1.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas,P16
07-JL-2018-matrices090131-015-repet1.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas,P16
07-JL-2018-matrices090131-015-repet2.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas,P16
07-TI-2019-Matrice-080102-001-repet1.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas,P16
08-JL-2018-matrices090131-015-repet1.wav,emˈiljo faβɾikˈo un silβˈato un pˈito maɾaβiʎˈoso,P04
08-JL-2018-matrices090131-015-repet2.wav,emˈiljo faβɾikˈo un silβˈato un pˈito maɾaβiʎˈoso,P04
08-TI-2019-Matrice-080102-001-repet1.wav,emˈiljo faβɾikˈo un pˈito maɾaβiʎˈoso,P03
09-JL-2018-matrices090131-015-repet1.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða,P08
09-JL-2018-matrices090131-015-repet2.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða,P08
09-TI-2019-Matrice-080102-001-repet1.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða,P08
09-TI-2019-Matrice-080102-001-repet2.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða,P08
10-JL-2018-matrices090131-015-repet1.wav,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso,P02
10-JL-2018-matrices090131-015-repet2.wav,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso,P02
10-TI-2019-Matrice-080102-001-repet2.wav,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso,P02
11-JL-2018-matrices090131-015-repet1.wav,xˈuljo silβˈo un mensˈaxe poˈetiko,P20
11-JL-2018-matrices090131-015-repet2.wav,xˈuljo silβˈo un mensˈaxe poˈetiko,P20
11-TI-2019-Matrice-080102-001-repet2.wav,xˈuljo silβˈo un mensˈaxe poˈetiko,P20
12-JL-2018-matrices090131-015-repet1.wav,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa,P07
12-JL-2018-matrices090131-015-repet2.wav,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa,P07
12-TI-2019-Matrice-080102-001-repet2.wav,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa,P07
13-JL-2018-matrices090131-015-repet1.wav,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales,P12
13-JL-2018-matrices090131-015-repet2.wav,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales,P12
13-TI-2019-Matrice-080102-001-repet2.wav,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales,P12
14-JL-2018-matrices090131-015-repet1.wav,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos,P06
14-JL-2018-matrices090131-015-repet2.wav,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos,P06
14-TI-2019-Matrice-080102-001-repet2.wav,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos,P06
